userName,score,content,at
Keon Jev Begin,5,I already know the easy words,2026-02-20 04:24:43
Christen Johnson,2,"Loved it until the energy bar. Now it's awful. Also, I have an unreasonable hatred for this melting Duo icon. So much so that I'd rather uninstall it and use the web version. I'm pretty close to leaving altogether after an almost 800 day streak...",2026-02-20 04:24:38
Zaki,5,The best learning app,2026-02-20 04:20:49
Abdullah,5,best app 🫀🫀🫀,2026-02-20 04:20:30
Aadesh Nanda,5,fantastic,2026-02-20 04:19:46
Zara Azara,5,i like that!!!,2026-02-20 04:19:18
Hamzcorp,5,It's really cool and easy to learn a new language here,2026-02-20 04:18:20
Dipa Das,5,best language learning app everrrr,2026-02-20 04:17:57
Ann W,5,Really like this app. Enjoying my Spanish lessons.,2026-02-20 04:17:56
Prince Kumar,4,this is very helpful for beginners.in many language learning,2026-02-20 04:17:45
Rehan Ali,4,good for entertainment and study,2026-02-20 04:17:03
Kitty Petite,5,I LOVE THIS APP IT'S SO CUTE,2026-02-20 04:16:57
Musunka Silungwe,5,Duolingo beats mindless scrolling any day.,2026-02-20 04:16:24
Shihin Ansari,5,very good app .Duolingo is a cute 🥰,2026-02-20 04:16:22
Marufa Akter Bithy,5,আমার অনেক ভালে লাগছে,2026-02-20 04:16:19
Mario Smit,5,When will IsiXhosa be available? Please!!,2026-02-20 04:15:44
Trejo Hinojoza Leonel,4,i like it,2026-02-20 04:14:36
Czelindryanah Orhuela,5,gusto ko,2026-02-20 04:06:55
Chandra kumaran,5,good,2026-02-20 04:06:21
Nixon Fleurantin,5,it Is so easy 😝,2026-02-20 04:04:31
Tanvi Mehta,1,all of a sudden the legendary status on section 1 of my korean lesson is gone. that's such a waste of time and energy. update: it's happened all over again . for the second time my legendary status for a number of exercises from Korean section 1 is vanished. it's all back to normal status .. the golden legendary progress is gone. started as the best app ever and now performance issue is that of a third grade app. not sure why quality degardes after getting fame or more traction.,2026-02-20 04:03:57
Aman Bishnoi,5,nice app 👍👍,2026-02-20 04:02:47
Johnwhane Cahapay,5,"not that easy to learn, but you'll learn.",2026-02-20 03:59:29
Muhammad Ahsan,5,Good for learning,2026-02-20 03:58:30
Fadyh Alya208,5,"gatau bingung, tapi, i like it.",2026-02-20 03:57:03
Curtisa mcnac,5,its fun and interactive,2026-02-20 03:56:03
Harsh Bisen,5,this is the very and very good,2026-02-20 03:54:55
ahmad awais,5,excellent,2026-02-20 03:53:18
Ahmad ullah,5,I love Duolingo,2026-02-20 03:53:06
Yazjavi Candelario,5,I'm learning Korean and its super simple and easy to get to learn because duolingo makes it easy no rush,2026-02-20 03:52:01
Anderson Portillo,4,"now I know French thank you Duolingo, but when I was speaking, it didn't hear me and I was saying it correct. It marked it me wrong.",2026-02-20 03:51:31
Amir Hossein Khodaparast,2,"it's vibrations is on my nerve. also It gets bug most of the time and I have to reopen it again and again. Sometimes, it won't fix and my 2x got waste! also I've stopped playing it when I realized that you gotta git rid of all of your points and gems in order to stay in the league you are competing with others!",2026-02-20 03:50:55
Puje Puje,4,best for learning i had a blast! but it sucks that you use energy and i tried to use super duolingo but it wont let me please fix it :),2026-02-20 03:50:12
Laura Ugarte,4,great,2026-02-20 03:48:29
Graven,4,just dont like the 25 energy it limits the fun!!,2026-02-20 03:47:25
kisembo rahman,5,very nice,2026-02-20 03:43:24
Sahil Behera,4,good one,2026-02-20 03:42:45
Santosh,5,Best,2026-02-20 03:42:02
Regina Grace Rante,5,nakakatulong iyo,2026-02-20 03:41:31
Sitangshu Singha,2,it removed my streak 41 days and changed it to 2,2026-02-20 03:41:26
Mahdy Hasan,5,nice 🙂👍,2026-02-20 03:37:01
Rewan Roro,5,The best and easiest way to learn languages in an easy and fun way,2026-02-20 03:35:28
Poonam Pandey,5,it is damnn good bruh🎀💫 I will rate it 100/100,2026-02-20 03:35:19
L P,5,this app is amazing learning so much! highly recommend it!,2026-02-20 03:34:53
Tin Tin Win,5,I love it i learned japanese faster:),2026-02-20 03:34:34
Md Tanvir Ahmed,5,it's awesome to learn with this app.,2026-02-20 03:32:21
Jairus Ortega,3,mediocre,2026-02-20 03:31:36
Nelly Nur Izara,5,iluvit,2026-02-20 03:28:52
OM Valmiki,5,best,2026-02-20 03:28:38
Yinting Feng Pietersz,5,I learned a lot of cool things now I know Spanish a lot,2026-02-20 03:27:09
Anmol Fatima,5,this is Best app for learning different languages so download it guys BTS Armys 👀💜,2026-02-20 03:24:02
Tushar Kanti Barman,5,very helpful,2026-02-20 03:23:55
Scarlett-J'leigh Maynard,5,really good it's teaching me a lot so far.,2026-02-20 03:23:34
Notlex,4,nice for flex,2026-02-20 03:23:11
Bentley,5,"this is very good, teaching me how to chess, W game.",2026-02-20 03:22:08
Sarah,1,"After a 1727 day streak I'm calling it quits. I lost hundreds of diamonds due to a glitch which have not been refunded. On top of that, after several years I can safely say that I haven't been taught enough to be proficient in Spanish. I know a lot of words, but pronunciation and grammar are best taught in person. If you want to play a game run by AI slop, this is a fine app, if you want to actually learn a language, look elsewhere.",2026-02-20 03:21:43
Shalini P,5,essy learning,2026-02-20 03:21:43
L.Poongothai shalini,5,so good tvk tvk,2026-02-20 03:20:29
Kalpesh Nat,5,bhut achha he,2026-02-20 03:16:55
Aydin Muiz,1,DON'T DOWNLOAD THIS APP IF YOU WANT TO LEARN CHESS OSCAR IS BAD HE ALWAYS BULLY THE BEGGINER,2026-02-20 03:16:17
Kelvin Matu,5,I LOVE IT,2026-02-20 03:14:56
David Stevens,4,a good way to learn language,2026-02-20 03:12:19
Jittu Verma,5,good aplication,2026-02-20 03:11:57
Shaik Ayesha kowsar,5,best app to learn english,2026-02-20 03:11:24
Rick Irwin,5,I'm really liking how this is working out. Free so far with a 10 day streak. I believe I will subscribe if I'm still liking this on day 14,2026-02-20 03:10:32
Dominic Burrows,1,"Me and my dad learned Spanish on this app for multiple years, and yet still, neither of us know any Spanish.",2026-02-20 03:10:12
Paul Garcia,5,Duolingo makes learning fun and rocks with positive reinforcement. Gamifying learning helps me come back everyday for more and the owl is ridiculously awesome. 🔥🔥🔥,2026-02-20 03:09:51
Astha Singh,5,its a very fun and easy language learn app. its my favourite app.,2026-02-20 03:07:49
Jacob Campbell,1,"I'm just over 400 days so I've put my time in but it's got considerably worse with prompts. The hints it gives you doesn't even match what you're currently looking at or does it give you the correct word you need. So glad I never paid for this, AI has ruined the prompts to the point I'm looking to switch programs.",2026-02-20 03:07:40
Gajala begam,5,amazing app,2026-02-20 03:05:30
Sandra Benedict,5,very helpful to learn languages⭐⭐⭐⭐⭐,2026-02-20 03:05:19
Rome Levesque,2,the app is really good with teaching you a different languages and everything but sometimes it'll take all of my energy when I just paid to recharge it. and I think that's stupid. that there can be something that bad of a glitch. or they're doing it on purpose just to be mean.,2026-02-20 03:05:14
tom,3,"The rules of language are not explained well and very little information provided. Words translation changing without explaining why and the pronunciation of the words are something bad or incorrect. Can you learn? I think yes, but you have to do a lot of google search to learn rules, and because it's design to cause you make mistakes you run out of energy and if you want to continue you have to pay for the super user, if you don't the ads will also distract you a lot.",2026-02-20 03:04:38
Rehman ali,5,good chess learning app,2026-02-20 03:04:23
Nelson Garcia,4,Really good app to learn 😃,2026-02-20 03:04:21
Samora Campbell,5,Great app for learning Spanish,2026-02-20 03:02:32
Paul Foz,5,good app teaching me a lot so far,2026-02-20 03:01:20
Waluigi Time,1,Uses AI,2026-02-20 03:01:14
jude xavier,5,very very happy with the app,2026-02-20 03:00:00
Aman Funyer,5,good and best,2026-02-20 02:58:52
Ira Mae Claro (Aira),5,"learning more words everyday, nice!",2026-02-20 02:57:46
Mamoni Talukdar,4,it is very useful,2026-02-20 02:57:40
NITIK KUMAR,4,she is very useful for English and chess ♟️,2026-02-20 02:57:11
Rehema Ombaye,5,"Duolingo is very good. I love the options of languages you can learn and not just languages. Math, Music, and Chess is included. I like Duolingo, kinda love it too.",2026-02-20 02:54:45
Ahmed Rakib,5,duo best ☺️,2026-02-20 02:54:43
shin chan,5,"this is very useful for learn English,Chess,and more.",2026-02-20 02:54:07
Ayush Kumar,5,it's good 😊,2026-02-20 02:53:49
Richard Kohler,5,the best way of learning 👌,2026-02-20 02:49:54
Deepak kumar Singh,5,very useful app if u have patience or 6 to 7 month then you survive in any country,2026-02-20 02:49:13
Sakthivel,5,super,2026-02-20 02:48:22
Lazarus Ratu,5,keren bgt,2026-02-20 02:48:10
chloe roehm,2,"Duolingo is said to be a free language learning app. if its free than why do we have to pay for energy to learn? honestly people shouldn't have to pay to learn. They could be sued for false advertising. I was able to learn one lesson in duolingo before the app saying I needed to pay to keep learning. i WAS learning French and if the there is two words I learned, its the words c'est stupide. Who agrees with me?",2026-02-20 02:47:15
Abishek Khatri,4,Really amazing 😍,2026-02-20 02:45:57
Ritik Rai,5,perfect app learn to English 👍👍,2026-02-20 02:45:26
Mila Miner,5,very productive and makes learning different languages fun,2026-02-20 02:43:11
rupali Shirke,5,It is very nice to learn other languages. Everyone can utilize there time.,2026-02-20 02:42:59
Herlino Alviano Adithia Saputra,5,always the best and fun to learn,2026-02-20 02:40:47
Tyler Lucas,5,goated app,2026-02-20 02:40:46
ali aslam,5,It's very good I learn Japanese I will never forget it's daily work I love because it's like a game,2026-02-20 02:40:40
Renu Gopalani,5,ok duo ill keep my streak please don't end me (help),2026-02-20 02:40:21
Ivan Kalin,2,Tried to get back to Duolingo after about 1.5 years and oh my what a frustrating experience it is to use the app now. After each lesson you need to click through 4 or 5 different screens just to get to the next lesson. And this gets so much worse if you don't have a paid membership. The app used to be fun and kinda addictive. Now it's just annoying.,2026-02-20 02:39:50
Rajitha,5,best app for learning,2026-02-20 02:38:55
Steven Mayrand,1,"The free version used to be useful since you could do lessons until you did 5 errors, now if you dont pay you won't have enough energy to do more than 3-4 lessons that will teach you 1-3 words max, and well if you're a quick learner and willing to pay go for Babbel instead.",2026-02-20 02:38:51
Akshat,5,well it's an easy and fun way to learn your desirable languages so it wont bore you only if you actually wanna learn that language,2026-02-20 02:38:35
Thallapelli Mahesh,5,this app is really nice for learning,2026-02-20 02:37:14
Jancy Bala,5,super 👍🏻,2026-02-20 02:37:13
Sean Esean,4,great app. my only recommendation is to increase the size of the answer choices font or have an accessibility feature.,2026-02-20 02:33:30
Ranjana Gupta,1,👌👌👌👌👌💯💯💯💯good😊,2026-02-20 02:31:28
Shine Bayr,5,its really good unless u ruin ur streak,2026-02-20 02:28:57
Ak akash Hassan,4,nich app,2026-02-20 02:27:17
Anup,1,worst app in the world,2026-02-20 02:26:53
Kevin Diaz,4,Ahora con la opción de energía ilimitada y sin publicidad esta mucho mejor,2026-02-20 02:26:21
Sandeep Singh mann,5,i live this app it helps me to learn lot of languages,2026-02-20 02:26:09
Mrm reddy,5,it is a best choice to learn,2026-02-20 02:24:07
Anitha Mathew,5,Good app for learning.,2026-02-20 02:23:38
Manohar Lal,5,This app is ussam,2026-02-20 02:23:17
Chamila Madushani,5,"Very easy to learn,So fun and interesting",2026-02-20 02:22:56
Prativa Sinjali,5,I think it is really good for student love it,2026-02-20 02:20:32
Tony Smith,1,"The app is now endlessly loading between lessons, requiring an app restart to continue with one more lesson before freezing again. The app regularly drains my phone battery uncontrollably, drops frames & freezes, & even requires a restart far too often. Another huge complaint is when lessons glitch out, usually on the last exercise or so, & it restarts the lesson.",2026-02-20 02:20:03
Kern walters Walters,5,IT'S PERFECTTTTTT!!!!,2026-02-20 02:19:11
Jack Kasliner,4,The prompts can get annoying and the murders intent of the bird is not totally okay but overall it's fine,2026-02-20 02:18:55
Wil,1,Bring back the hearts!,2026-02-20 02:17:10
Zander Watson,1,ai slop all needs to be said,2026-02-20 02:15:32
lia mee,5,it's made it so easy to learn Spanish,2026-02-20 02:14:23
Simon Maharjan,5,Good lessons I'm enjoying learning the lessons and also I'm improving skills by it.,2026-02-20 02:11:04
SONI KUMARI,5,this. is so adorable and active game 😁😄,2026-02-20 02:10:36
Nilupa Kumarasinhe,5,it is realy good and fun,2026-02-20 02:09:18
Divyanshu Singh,5,This app is best learning app,2026-02-20 02:06:52
Diane Solomon,5,Quick and simple to learn,2026-02-20 02:05:06
Kratika Verma,5,superb,2026-02-20 02:04:07
Ujjwal Hemrom,5,very good,2026-02-20 02:02:56
Minho's Wife,5,sumpah suka bangeeettt🩷🩷🩷🩷,2026-02-20 02:02:26
Sachin Ghodke,5,like it,2026-02-20 01:56:27
Ahmed Elmoghazy,5,amazing,2026-02-20 01:52:43
Felicia H,5,thankyou,2026-02-20 01:52:27
Amartya Anand,5,its best laguage learning app,2026-02-20 01:50:05
Santoso Lessiohadi,4,overall I love it. they need to enable some feature to control the speed and not just 2 speeds. maybe there is a way and I don't know it,2026-02-20 01:47:54
Chandni Raj,5,nice 👍 for English practice,2026-02-20 01:47:44
Satyendr Kumar,5,English practice best app,2026-02-20 01:46:10
farhan hoseini,5,the best one ever. but I wish we could exercise English in other language absolutely in persian. and I would more happy if I see my native language Fars/Persian in order of languages that you can learn,2026-02-20 01:44:30
Gabriel A. García Londoño,5,"I came back after a while and the app has improved significantly, they even have a chess course! Great work Duolingo!",2026-02-20 01:43:26
Mehedi Hasan Sumon,5,verry good app,2026-02-20 01:42:30
Shananaaz Sheikh,5,best app for learning and specially Japanese the app was super 🤩🤩,2026-02-20 01:41:50
Thilaga,5,It's so good. I prefer for everyone to try this!!!! 🦋,2026-02-20 01:40:40
Patsy Hanan,3,"Im not fluent in Spanish by any means, however I speak enough to be a little frustrated with how slowly it feels Im progressing going over the same 10-15 words for 3 days. Hopefully it starts giving me words/phrases Im less familiar with soon.",2026-02-20 01:39:00
Farzana Batool,5,I love it it's so funny and helped with my Arabic love it thanks duo💅,2026-02-20 01:38:48
Muavia Rehan,5,the best app to learn any language i've ever found,2026-02-20 01:38:21
Zinat Patel,5,i have learned many languages with fun,2026-02-20 01:37:51
Vinod Kumar,5,very bestttt,2026-02-20 01:37:30
Avery Wilde,5,Duolingo is pretty fun! It uses rewards (and many reminders) to help keep you on track in a fun and intriguing way! 8/10 for sure.,2026-02-20 01:30:04
ze.k.aa_1 2,5,I love it ♥️,2026-02-20 01:28:49
pamela ng,5,it real good,2026-02-20 01:28:29
Akampreet Singh,5,best app forever ♾️ ♾️ ♾️ 💗 💗 💗 💗,2026-02-20 01:27:57
Aroma Ijaz,4,8.5 / 10,2026-02-20 01:27:54
Diksha Jadhav,5,इ कॅन टाळकं english,2026-02-20 01:27:36
Tayyab Ahmed Farooq,5,Why isn't Urdu available on Doulingo?,2026-02-20 01:27:24
Rakesh Gupta,5,excellent,2026-02-20 01:27:09
Pallabi Jana,5,"I love for learning chess and music here it's Awesome to use its easy to learn chess, music,math, language",2026-02-20 01:26:25
Eva,5,I can parle francais now oui oui oui heheheh,2026-02-20 01:24:40
